benchmark,framework,sockets,sizes,time
atax,dace_cpu,2,"(28286, 35356)",0.23243208799976856
atax,dace_cpu,2,"(28286, 35356)",0.2305945360021724
atax,dace_cpu,2,"(28286, 35356)",0.23065432099974714
atax,dace_cpu,2,"(28286, 35356)",0.23081393000029493
atax,dace_cpu,2,"(28286, 35356)",0.2313539890019456
atax,dace_cpu,2,"(28286, 35356)",0.2305287090021011
atax,dace_cpu,2,"(28286, 35356)",0.2304803049992188
atax,dace_cpu,2,"(28286, 35356)",0.23055582099914318
atax,dace_cpu,2,"(28286, 35356)",0.23136926900042454
atax,dace_cpu,2,"(28286, 35356)",0.2304685220005922
bicg,dace_cpu,2,"(35356, 28286)",0.2290964809981233
bicg,dace_cpu,2,"(35356, 28286)",0.2299130850005895
bicg,dace_cpu,2,"(35356, 28286)",0.22763093699904857
bicg,dace_cpu,2,"(35356, 28286)",0.22745140200277092
bicg,dace_cpu,2,"(35356, 28286)",0.227306762997614
bicg,dace_cpu,2,"(35356, 28286)",0.2272522969979036
bicg,dace_cpu,2,"(35356, 28286)",0.2277226940022956
bicg,dace_cpu,2,"(35356, 28286)",0.22751396100284182
bicg,dace_cpu,2,"(35356, 28286)",0.22791444399990723
bicg,dace_cpu,2,"(35356, 28286)",0.22742055300113861
doitgen,dace_cpu,2,"(256, 512, 512)",0.0891200240002945
doitgen,dace_cpu,2,"(256, 512, 512)",0.08673033900049631
doitgen,dace_cpu,2,"(256, 512, 512)",0.08879758300099638
doitgen,dace_cpu,2,"(256, 512, 512)",0.08721589500055416
doitgen,dace_cpu,2,"(256, 512, 512)",0.0919058639992727
doitgen,dace_cpu,2,"(256, 512, 512)",0.0879825130032259
doitgen,dace_cpu,2,"(256, 512, 512)",0.08443802100009634
doitgen,dace_cpu,2,"(256, 512, 512)",0.08752625300257932
doitgen,dace_cpu,2,"(256, 512, 512)",0.08892588999879081
doitgen,dace_cpu,2,"(256, 512, 512)",0.08888709600068978
gemm,dace_cpu,2,"(10080, 11592, 6552)",4.073017972001253
gemm,dace_cpu,2,"(10080, 11592, 6552)",2.7921669249990373
gemm,dace_cpu,2,"(10080, 11592, 6552)",2.8131373159994837
gemm,dace_cpu,2,"(10080, 11592, 6552)",2.8756243940006243
gemm,dace_cpu,2,"(10080, 11592, 6552)",2.788164646997757
gemm,dace_cpu,2,"(10080, 11592, 6552)",2.9156678809995356
gemm,dace_cpu,2,"(10080, 11592, 6552)",2.9973162159985804
gemm,dace_cpu,2,"(10080, 11592, 6552)",2.850685806999536
gemm,dace_cpu,2,"(10080, 11592, 6552)",2.800092974997824
gemm,dace_cpu,2,"(10080, 11592, 6552)",2.7966550220007775
gemver,dace_cpu,2,"(14144,)",0.07131940099861822
gemver,dace_cpu,2,"(14144,)",0.07242478200350888
gemver,dace_cpu,2,"(14144,)",0.07179421700129751
gemver,dace_cpu,2,"(14144,)",0.07166515800054185
gemver,dace_cpu,2,"(14144,)",0.07355490999907488
gemver,dace_cpu,2,"(14144,)",0.07005591599954641
gemver,dace_cpu,2,"(14144,)",0.07305182999698445
gemver,dace_cpu,2,"(14144,)",0.07134571200003847
gemver,dace_cpu,2,"(14144,)",0.07326642299813102
gemver,dace_cpu,2,"(14144,)",0.07074264000038966
gesummv,dace_cpu,2,"(31680,)",0.23588032400220982
gesummv,dace_cpu,2,"(31680,)",0.23818245999791543
gesummv,dace_cpu,2,"(31680,)",0.23967904500022996
gesummv,dace_cpu,2,"(31680,)",0.24010344199996325
gesummv,dace_cpu,2,"(31680,)",0.23825555099756457
gesummv,dace_cpu,2,"(31680,)",0.2384144269999524
gesummv,dace_cpu,2,"(31680,)",0.2384721480011649
gesummv,dace_cpu,2,"(31680,)",0.23937007900167373
gesummv,dace_cpu,2,"(31680,)",0.23823527199783712
gesummv,dace_cpu,2,"(31680,)",0.23973826799920062
k2mm,dace_cpu,2,"(8064, 9072, 5544)",3.2250580559993978
k2mm,dace_cpu,2,"(8064, 9072, 5544)",3.4182842029986205
k2mm,dace_cpu,2,"(8064, 9072, 5544)",3.4808933040003467
k2mm,dace_cpu,2,"(8064, 9072, 5544)",3.4674445879973064
k2mm,dace_cpu,2,"(8064, 9072, 5544)",3.895642637999117
k2mm,dace_cpu,2,"(8064, 9072, 5544)",3.5287655469983292
k2mm,dace_cpu,2,"(8064, 9072, 5544)",3.5189981520015863
k2mm,dace_cpu,2,"(8064, 9072, 5544)",3.4956244559980405
k2mm,dace_cpu,2,"(8064, 9072, 5544)",3.4057084310006758
k2mm,dace_cpu,2,"(8064, 9072, 5544)",3.5477962949989887
k3mm,dace_cpu,2,"(8064, 9072, 5040)",4.364878388001671
k3mm,dace_cpu,2,"(8064, 9072, 5040)",4.430056871999113
k3mm,dace_cpu,2,"(8064, 9072, 5040)",4.405754161001823
k3mm,dace_cpu,2,"(8064, 9072, 5040)",4.253975985000579
k3mm,dace_cpu,2,"(8064, 9072, 5040)",4.414067951998732
k3mm,dace_cpu,2,"(8064, 9072, 5040)",4.447570270000142
k3mm,dace_cpu,2,"(8064, 9072, 5040)",4.358733211000072
k3mm,dace_cpu,2,"(8064, 9072, 5040)",4.602464823001355
k3mm,dace_cpu,2,"(8064, 9072, 5040)",4.12967450799988
