benchmark,framework,sockets,sizes,time
atax,dace_cpu,1,"(20000, 25000)",0.23273821800103178
atax,dace_cpu,1,"(20000, 25000)",0.2337518310014275
atax,dace_cpu,1,"(20000, 25000)",0.23257035400092718
atax,dace_cpu,1,"(20000, 25000)",0.2333612689981237
atax,dace_cpu,1,"(20000, 25000)",0.23319807300140383
atax,dace_cpu,1,"(20000, 25000)",0.2323817219985358
atax,dace_cpu,1,"(20000, 25000)",0.23320461700132
atax,dace_cpu,1,"(20000, 25000)",0.23344375799933914
atax,dace_cpu,1,"(20000, 25000)",0.23241244099699543
atax,dace_cpu,1,"(20000, 25000)",0.23284170699844253
bicg,dace_cpu,1,"(25000, 20000)",0.22694678399784607
bicg,dace_cpu,1,"(25000, 20000)",0.22865397299756296
bicg,dace_cpu,1,"(25000, 20000)",0.2265566320020298
bicg,dace_cpu,1,"(25000, 20000)",0.22775318799904198
bicg,dace_cpu,1,"(25000, 20000)",0.2282793020021927
bicg,dace_cpu,1,"(25000, 20000)",0.2269779650014243
bicg,dace_cpu,1,"(25000, 20000)",0.22696716299833497
bicg,dace_cpu,1,"(25000, 20000)",0.2267188849982631
bicg,dace_cpu,1,"(25000, 20000)",0.2270811620001041
bicg,dace_cpu,1,"(25000, 20000)",0.22826665799948387
doitgen,dace_cpu,1,"(128, 512, 512)",0.07890887900066446
doitgen,dace_cpu,1,"(128, 512, 512)",0.08285217899901909
doitgen,dace_cpu,1,"(128, 512, 512)",0.07713269700252567
doitgen,dace_cpu,1,"(128, 512, 512)",0.07560703600029228
doitgen,dace_cpu,1,"(128, 512, 512)",0.07559831999969902
doitgen,dace_cpu,1,"(128, 512, 512)",0.07868783400044776
doitgen,dace_cpu,1,"(128, 512, 512)",0.07462595600009081
doitgen,dace_cpu,1,"(128, 512, 512)",0.07302372899721377
doitgen,dace_cpu,1,"(128, 512, 512)",0.07120279000082519
doitgen,dace_cpu,1,"(128, 512, 512)",0.07809950899900286
gemm,dace_cpu,1,"(8000, 9200, 5200)",1.3072650770009204
gemm,dace_cpu,1,"(8000, 9200, 5200)",1.1979813870020735
